咎狗の血	とがいぬのち
とある魔術の禁書目録	とあるまじゅつのいんでっくす
青の祓魔師	あおのえくそしすと
妖狐×僕SS	いぬぼくしーくれっとさーびす
はぐれ勇者の鬼畜美学	はぐれゆうしゃのえすててぃか
はいたい七葉	はいたいななふぁ
gdgd妖精s	ぐだぐだふぇありーず
とある科学の超電磁砲	とあるかがくのれーるがん
機巧少女は傷つかない	ましんどーるはきずつかない
星刻の竜騎士	せいこくのどらぐなー
神々の悪戯	かみがみのあそび
棺姫のチャイカ	ひつぎのちゃいか
龍ヶ嬢七々々の埋蔵金	りゅうがじょうなななのまいぞうきん
信長協奏曲	のぶながこんつぇると
精霊使いの剣舞	せいれいつかいのぶれいどだんす
魔弾の王と戦姫	まだんのおうとヴぁなでぃーす
天体のメソッド	そらのめそっど
繰繰れ!コックリさん	ぐぐれこっくりさん
新妹魔王の契約者	しんまいまおうのてすためんと
東京喰種	とーきょーぐーる
冴えない彼女の育てかた	さえないひろいんのそだてかた
聖剣使いの禁呪詠唱	せいけんつかいのわーるどぶれいく
トリアージX	とりあーじいくす
浦和の調ちゃん	うらわのうさぎちゃん
青春×機関銃	あおはるきかんじゅう
監獄学園	ぷりずんすくーる
枕男子	まくらのだんし
落第騎士の英雄譚	らくだいきしのきゃばるりぃ
NORN9ノルン+ノネット	のるんのねっと
最弱無敗の神装機竜	さいじゃくむはいのばはむーと
斉木楠雄のΨ難	さいきくすおのさいなん
魔装学園H×H	まそうがくえんはいぶりっどはーと
あにトレ！XX	あにとれぺけぺけ
亜人ちゃんは語りたい	でみちゃんはかたりたい
BangDream!	ばんどり
ロクでなし魔術講師と禁忌教典	ろくでなしまじゅつこうしとあかしっくれこーど
sin七つの大罪	しんななつのたいざい
戦姫絶唱シンフォギアAXZ	せんきぜっしょうしんふぉぎああくしず
天使の3P!	てんしのすりーぴーす
刀使ノ巫女	とじのみこ
刻刻	こっこく
